order_date,product,quantity,revenue,profit
2024-08-11,Phone,4,41905,6884
2024-02-12,Phone,6,31332,8999
2024-09-20,Tablet,4,46391,1845
2024-01-03,Monitor,6,46310,9885
2025-09-28,Laptop,5,47401,4899
2024-09-24,Keyboard,9,18476,8265
2025-08-18,Tablet,9,38876,9481
2024-01-16,Laptop,4,6026,4200
2024-11-29,Monitor,4,31586,9546
2025-04-08,Tablet,8,22063,6997
2024-02-28,Laptop,4,6972,6520
2024-06-25,Tablet,2,3275,7229
2024-03-03,Laptop,2,16328,3762
2025-07-14,Laptop,1,45276,5508
2024-11-02,Monitor,5,18474,5365
2024-09-02,Keyboard,6,22888,5431
2024-10-15,Monitor,9,15555,9547
2024-11-27,Laptop,5,19115,3224
2025-06-10,Tablet,6,38386,6437
2024-09-11,Monitor,6,23338,9023
2025-08-26,Keyboard,3,41228,6817
2025-05-24,Laptop,4,12964,616
2025-12-18,Monitor,1,40864,4672
2025-08-28,Monitor,4,7740,4182
2025-04-07,Monitor,1,5442,8880
2024-07-17,Monitor,5,20122,7045
2024-09-27,Tablet,8,14036,4217
2025-07-11,Keyboard,8,2100,2720
2024-03-04,Keyboard,5,6200,9414
2024-08-17,Laptop,2,39339,9962
2024-09-05,Phone,6,10748,8346
2024-09-02,Tablet,1,45791,1732
2025-08-09,Laptop,7,17593,9104
2024-06-05,Laptop,4,19855,8540
2025-12-02,Monitor,5,17677,820
2025-07-17,Phone,6,19983,9704
2024-03-28,Phone,1,44315,3904
2024-11-08,Tablet,9,39033,3168
2024-03-06,Phone,4,526,2182
2025-10-23,Laptop,8,39961,9951
2024-01-20,Phone,5,22206,7275
2024-02-02,Phone,8,25160,1040
2025-07-11,Keyboard,1,39877,760
2024-03-13,Laptop,8,42582,4354
2024-12-08,Phone,4,16758,5417
2024-05-12,Phone,2,38577,88
2024-02-24,Monitor,6,33279,1325
2024-03-01,Phone,2,24654,7119
2025-06-03,Phone,5,30184,4907
2024-09-28,Keyboard,2,15889,1486
2024-09-02,Laptop,3,26824,9711
2024-06-24,Tablet,6,28185,2149
2025-09-19,Laptop,1,27695,8615
2024-11-12,Monitor,6,22297,7743
2025-12-05,Laptop,3,46939,4301
2025-10-23,Phone,7,6274,4075
2024-05-10,Monitor,2,32133,9355
2024-04-11,Laptop,6,49831,6262
2024-11-05,Monitor,8,1296,3284
2024-10-18,Tablet,1,40547,9507
2025-12-22,Laptop,9,28889,7712
2025-05-09,Phone,5,7688,7600
2024-12-26,Monitor,5,24196,3173
2024-12-03,Keyboard,5,2524,703
2025-08-01,Monitor,6,8166,4208
2024-01-10,Keyboard,2,36485,8750
2024-02-18,Phone,6,7084,9929
2025-05-01,Tablet,4,25962,5593
2025-09-14,Keyboard,8,27544,9630
2024-11-16,Tablet,9,5785,2247
2025-12-31,Monitor,9,7870,3961
2025-07-22,Phone,8,18403,5285
2025-09-16,Keyboard,3,32999,4849
2024-05-12,Monitor,4,32868,8757
2025-08-05,Laptop,1,23495,5410
2024-03-23,Monitor,9,40124,8271
2024-02-26,Tablet,5,35700,375
2025-01-10,Phone,6,23341,3816
2024-12-14,Phone,3,5366,4161
2024-09-27,Monitor,8,14066,8352
2025-04-27,Laptop,7,38322,7065
2024-04-20,Tablet,1,42376,6906
2024-03-16,Monitor,5,29052,156
2024-06-06,Monitor,9,35049,2476
2025-06-15,Phone,6,25414,4428
2025-10-04,Tablet,8,44330,4414
2024-11-24,Laptop,1,45042,2581
2024-05-01,Phone,7,22833,6860
2024-02-10,Monitor,3,16458,5366
2024-06-15,Phone,9,21454,5412
2025-10-03,Phone,6,10138,4743
2024-01-23,Keyboard,5,34647,9040
2024-10-05,Phone,8,10175,5318
2025-04-13,Phone,8,24554,2061
2025-02-03,Tablet,3,43534,475
2024-01-09,Phone,2,32161,3094
2024-01-13,Laptop,2,17684,6279
2024-02-21,Monitor,5,48463,1289
2024-07-27,Tablet,7,26322,6616
2025-07-03,Phone,8,11429,3441
2025-09-03,Laptop,8,5767,4263
2025-12-05,Monitor,8,36525,4047
2025-02-05,Tablet,3,12569,3056
2024-07-09,Laptop,2,1481,7075
2024-02-20,Phone,4,43936,3089
2025-01-27,Keyboard,1,18972,6608
2025-10-14,Keyboard,3,19836,8840
2025-11-10,Tablet,9,26087,1234
2025-09-12,Laptop,7,12156,2634
2025-12-19,Monitor,7,27826,8152
2024-10-26,Laptop,1,19010,7166
2025-09-13,Keyboard,7,41331,4433
2024-07-14,Tablet,7,19475,3986
2025-02-20,Phone,4,10165,1749
2025-10-25,Laptop,7,27597,4557
2025-02-23,Keyboard,8,26241,185
2025-10-01,Monitor,3,6937,2075
2025-09-08,Tablet,2,25685,3585
2025-06-05,Phone,7,10875,4904
2024-12-21,Laptop,5,27607,5417
2024-05-27,Monitor,5,30984,2940
2024-12-30,Phone,5,36129,2807
2024-12-29,Keyboard,7,46110,3823
2025-10-13,Keyboard,9,26335,8622
2025-12-02,Monitor,8,30243,6702
2025-02-05,Keyboard,6,31417,1578
2025-08-28,Tablet,7,39495,4621
2025-05-06,Monitor,9,11924,5099
2024-08-16,Keyboard,6,10143,898
2025-07-28,Laptop,1,10810,4177
2025-06-20,Keyboard,4,19451,7401
2024-09-24,Tablet,8,27068,5916
2025-02-08,Phone,7,15733,5919
2024-01-11,Phone,3,13700,2171
2024-11-15,Keyboard,3,22048,4731
2025-12-13,Phone,3,11032,522
2024-05-05,Keyboard,1,23965,1837
2024-11-01,Tablet,1,21791,163
2025-12-02,Phone,6,42948,9578
2025-05-25,Laptop,1,31080,6523
2024-03-29,Keyboard,5,26649,8580
2024-12-20,Phone,4,21846,2335
2025-09-19,Tablet,5,11119,1246
2024-12-17,Tablet,7,40418,128
2025-11-19,Laptop,6,2266,4609
2024-01-14,Tablet,9,4049,6067
2024-09-13,Tablet,6,19193,2702
2024-07-27,Phone,9,32422,4368
2024-10-07,Keyboard,4,42902,5435
2025-03-18,Monitor,1,35244,9498
2025-01-23,Tablet,1,48828,7104
2025-09-08,Tablet,7,12665,877
2025-04-27,Monitor,3,24064,4973
2024-05-26,Tablet,2,35758,3435
2024-10-05,Phone,6,25801,6106
2025-06-04,Phone,6,45263,2015
2025-09-21,Monitor,7,21265,2477
2025-08-28,Tablet,5,45287,2891
2025-03-09,Tablet,8,7925,8855
2024-05-23,Keyboard,7,13357,8804
2024-10-15,Tablet,2,27963,6613
2025-01-20,Phone,1,22944,5890
2024-01-14,Laptop,9,41957,7860
2024-09-13,Laptop,5,37244,6114
2024-12-11,Laptop,5,14705,7194
2025-11-28,Laptop,4,1204,4402
2024-12-10,Tablet,2,5952,234
2025-02-03,Tablet,5,46117,5859
2024-07-25,Keyboard,2,39362,4115
2024-06-20,Tablet,7,4181,7231
2025-04-08,Laptop,9,21022,8487
2024-09-26,Monitor,9,18800,7554
2024-08-08,Monitor,6,10066,7476
2024-05-31,Phone,1,8001,9107
2025-09-14,Phone,6,2345,2137
2024-07-01,Tablet,5,39681,650
2025-02-02,Monitor,4,41258,7854
2024-03-12,Laptop,6,42896,5587
2025-02-21,Laptop,6,13730,3083
2024-10-09,Laptop,6,18254,2106
2024-03-14,Tablet,2,34904,8774
2024-12-20,Tablet,7,23064,5134
2025-12-27,Keyboard,4,32862,2092
2025-05-11,Laptop,9,18727,8010
2024-11-23,Laptop,2,25260,407
2025-06-18,Tablet,5,30223,427
2025-08-02,Tablet,4,47975,4538
2025-03-22,Keyboard,9,17715,4847
2025-01-07,Keyboard,4,6038,3357
2024-12-27,Phone,8,22199,2646
2024-04-02,Monitor,8,43585,833
2024-11-16,Laptop,6,12954,5974
2024-11-19,Laptop,6,48717,2429
2025-01-18,Keyboard,8,41723,7881
2025-07-28,Keyboard,9,22211,9224
2024-12-11,Phone,5,15559,9284
2024-04-12,Monitor,1,48898,5317
2024-08-02,Phone,1,1786,7688
2024-07-10,Monitor,2,34797,2588
2025-11-02,Laptop,5,43268,911
2025-12-19,Phone,4,39923,1926
2024-07-12,Keyboard,1,35145,3576
2025-01-14,Phone,4,43209,9927
2025-02-06,Phone,4,26985,1672
2025-10-25,Laptop,4,32767,5568
2025-08-22,Keyboard,1,46323,2707
2024-01-11,Keyboard,9,27586,1982
2024-07-05,Tablet,3,16984,8749
2025-12-26,Tablet,4,3587,3528
2024-01-15,Tablet,5,39096,2706
2024-10-23,Laptop,7,19175,9363
2025-02-14,Phone,6,25180,339
2025-08-07,Keyboard,5,17577,7061
2024-02-21,Keyboard,8,38674,5908
2025-10-01,Phone,1,11932,7373
2024-01-28,Keyboard,7,3991,2879
2025-07-30,Phone,6,46626,6012
2024-01-17,Laptop,5,46622,4862
2024-12-16,Laptop,7,3892,7314
2025-03-03,Laptop,3,2768,9642
2025-10-11,Phone,1,38900,8808
2024-08-16,Phone,9,37051,1523
2024-07-28,Monitor,2,28588,2037
2025-03-06,Keyboard,3,14979,7723
2024-10-20,Keyboard,8,25965,3310
2025-08-04,Monitor,9,48655,7540
2024-04-13,Monitor,3,22857,6789
2024-07-22,Laptop,6,6469,3301
2024-02-22,Monitor,7,9481,5955
2025-01-09,Phone,1,21532,5350
2024-02-23,Tablet,7,42118,5104
2024-10-02,Phone,4,24908,1766
2024-11-30,Monitor,5,24741,9254
2024-01-31,Keyboard,8,48440,1360
2024-05-14,Phone,4,17902,667
2024-02-27,Keyboard,4,26266,4307
2024-04-14,Phone,8,4157,6149
2024-09-22,Keyboard,5,21730,518
2025-06-05,Phone,6,19180,5955
2025-05-10,Keyboard,5,17658,1189
2024-09-09,Tablet,1,19695,9678
2024-10-21,Laptop,7,42840,8778
2025-10-29,Phone,6,36450,1001
2024-06-06,Tablet,2,13479,8062
2025-07-02,Laptop,7,8367,3056
2025-09-22,Phone,6,15655,6125
2024-03-07,Tablet,5,13506,7940
2024-10-25,Tablet,8,4829,6002
2025-04-07,Tablet,5,23051,7127
2025-12-25,Monitor,2,36365,9092
2024-04-10,Keyboard,6,1904,2021
2024-02-25,Laptop,1,38369,1241
2024-11-27,Keyboard,5,1869,3970
2025-01-27,Keyboard,6,39933,7815
2025-01-15,Keyboard,7,18948,6243
2024-04-01,Tablet,2,36033,3096
2025-03-22,Keyboard,1,24675,354
2024-04-18,Monitor,6,1216,6389
2024-11-12,Phone,3,14350,8093
2024-06-16,Tablet,5,2211,4958
2025-03-10,Laptop,2,26301,2854
2025-03-17,Phone,1,22251,3986
2024-08-05,Phone,1,39529,762
2024-08-09,Phone,4,49660,6898
2025-11-03,Keyboard,2,25673,9923
2025-06-11,Keyboard,1,6586,9575
2024-10-04,Tablet,6,47630,8416
2025-07-22,Keyboard,4,11723,3255
2025-07-27,Keyboard,7,16720,5235
2025-04-10,Keyboard,6,13892,9658
2025-08-24,Tablet,5,20551,6556
2025-08-06,Tablet,2,2746,1822
2024-01-30,Monitor,5,20510,1124
2024-12-24,Monitor,9,3322,5497
2024-10-14,Monitor,9,25167,8833
2024-03-26,Monitor,2,17734,5314
2024-08-21,Phone,7,31154,7372
2024-11-08,Phone,4,49951,6701
2024-12-30,Monitor,3,10169,2460
2024-09-25,Monitor,1,22284,9089
2025-11-28,Laptop,3,30172,6491
2024-05-10,Phone,9,1582,8735
2024-12-16,Laptop,9,11648,8787
2024-06-28,Laptop,7,27994,9782
2025-04-24,Keyboard,3,41435,9125
2024-06-11,Tablet,3,10057,4006
2024-04-05,Phone,4,44996,6603
2025-05-24,Monitor,7,37219,6919
2024-12-30,Monitor,7,47945,7581
2024-12-18,Tablet,2,49237,3144
2025-03-11,Phone,5,42235,2415
2024-03-23,Monitor,7,40036,6718
2024-08-12,Monitor,7,14539,5050
2025-02-15,Keyboard,6,2803,7970
2024-04-27,Laptop,8,48431,3397
2025-04-26,Monitor,3,40425,3725
2024-07-10,Phone,1,18781,1002
2025-08-13,Tablet,3,49397,3350
2025-08-12,Keyboard,2,22709,3229
2025-10-20,Phone,2,28673,3297
2024-04-16,Keyboard,2,42787,4465
2025-01-16,Laptop,5,25690,3407
