show_id,type,title,country,release_year,rating,duration
s215,Movie,Title_215,India,2014,R,123
s216,Movie,Title_216,India,2016,PG-13,64
s217,TV Show,Title_217,UK,2013,PG-13,168
s218,TV Show,Title_218,UK,2013,PG,112
s219,Movie,Title_219,UK,2017,TV-MA,114
s220,TV Show,Title_220,India,2019,TV-MA,96
s221,TV Show,Title_221,USA,2017,PG,115
s222,Movie,Title_222,USA,2015,PG,118
s223,Movie,Title_223,India,2000,PG-13,168
s224,TV Show,Title_224,Canada,2022,TV-MA,161
s225,Movie,Title_225,USA,2010,PG,152
s226,TV Show,Title_226,UK,2014,PG,128
s227,TV Show,Title_227,Canada,2011,R,132
s228,Movie,Title_228,Canada,2007,PG,118
s229,TV Show,Title_229,USA,2021,PG,171
s230,TV Show,Title_230,Canada,2019,TV-MA,61
s231,Movie,Title_231,Canada,2005,PG-13,124
s232,Movie,Title_232,USA,2002,TV-MA,163
s233,Movie,Title_233,USA,2023,PG-13,119
s234,TV Show,Title_234,Canada,2025,R,110
s235,Movie,Title_235,UK,2012,PG,89
s236,Movie,Title_236,India,2012,R,70
s237,Movie,Title_237,Canada,2001,PG-13,151
s238,Movie,Title_238,Canada,2004,TV-MA,167
s239,TV Show,Title_239,UK,2016,TV-MA,135
s240,TV Show,Title_240,Canada,2005,R,98
s241,Movie,Title_241,Canada,2001,PG-13,149
s242,TV Show,Title_242,India,2003,R,136
s243,Movie,Title_243,India,2021,R,131
s244,Movie,Title_244,India,2025,PG,122
s245,TV Show,Title_245,USA,2010,R,123
s246,TV Show,Title_246,USA,2007,PG,120
s247,Movie,Title_247,India,2011,PG,113
s248,Movie,Title_248,India,2007,TV-MA,151
s249,TV Show,Title_249,USA,2010,PG,153
s250,Movie,Title_250,UK,2021,PG,132
s251,TV Show,Title_251,Canada,2019,TV-MA,162
s252,Movie,Title_252,Canada,2007,R,154
s253,Movie,Title_253,India,2007,PG-13,117
s254,TV Show,Title_254,UK,2025,PG-13,144
s255,TV Show,Title_255,USA,2016,PG-13,115
s256,TV Show,Title_256,India,2019,R,170
s257,TV Show,Title_257,UK,2019,PG,93
s258,TV Show,Title_258,UK,2022,PG-13,178
s259,TV Show,Title_259,UK,2015,R,90
s260,TV Show,Title_260,USA,2013,PG,111
s261,Movie,Title_261,USA,2010,TV-MA,148
s262,Movie,Title_262,Canada,2006,PG-13,135
s263,Movie,Title_263,Canada,2015,PG,60
s264,TV Show,Title_264,UK,2012,PG-13,114
s265,TV Show,Title_265,UK,2014,PG-13,81
s266,TV Show,Title_266,USA,2023,PG-13,99
s267,Movie,Title_267,Canada,2015,PG,160
s268,TV Show,Title_268,UK,2020,R,170
s269,TV Show,Title_269,Canada,2022,PG,60
s270,Movie,Title_270,Canada,2023,PG-13,124
s271,TV Show,Title_271,UK,2008,PG,122
s272,Movie,Title_272,USA,2002,TV-MA,165
s273,Movie,Title_273,UK,2018,R,113
s274,TV Show,Title_274,UK,2019,PG,101
s275,TV Show,Title_275,Canada,2004,TV-MA,80
s276,TV Show,Title_276,UK,2009,R,138
s277,Movie,Title_277,USA,2016,TV-MA,140
s278,Movie,Title_278,UK,2014,R,81
s279,Movie,Title_279,USA,2022,PG,97
s280,TV Show,Title_280,USA,2024,TV-MA,158
s281,TV Show,Title_281,Canada,2007,PG-13,168
s282,TV Show,Title_282,India,2014,TV-MA,139
s283,TV Show,Title_283,India,2020,R,67
s284,Movie,Title_284,Canada,2013,PG,121
s285,Movie,Title_285,UK,2019,R,106
s286,Movie,Title_286,Canada,2006,TV-MA,76
s287,Movie,Title_287,USA,2020,TV-MA,76
s288,TV Show,Title_288,India,2022,PG-13,177
s289,TV Show,Title_289,Canada,2011,PG,149
s290,TV Show,Title_290,UK,2016,PG,72
s291,Movie,Title_291,Canada,2016,TV-MA,76
s292,Movie,Title_292,India,2009,PG,97
s293,TV Show,Title_293,Canada,2018,PG-13,140
s294,TV Show,Title_294,Canada,2013,R,171
s295,Movie,Title_295,India,2010,PG,137
s296,TV Show,Title_296,USA,2001,TV-MA,104
s297,Movie,Title_297,USA,2017,R,65
s298,Movie,Title_298,India,2006,R,94
s299,Movie,Title_299,Canada,2011,PG-13,169
s300,TV Show,Title_300,India,2025,TV-MA,73
