customer_id,age,annual_income,spending_score
395,64,57921,50
396,34,79003,56
397,21,100876,95
398,39,66668,9
399,49,75175,8
400,39,67738,19
401,44,73452,51
402,63,88323,72
403,32,66149,98
404,61,133893,57
405,68,35839,68
406,39,147508,31
407,45,22155,3
408,59,27019,99
409,55,74512,83
410,26,81690,43
411,51,106150,29
412,53,146041,10
413,26,46190,12
414,32,125911,46
415,62,30928,30
416,37,68425,94
417,25,94134,82
418,45,129875,88
419,68,106117,32
420,36,144264,73
421,33,68974,47
422,28,130191,88
423,59,67796,63
424,25,68743,26
425,50,132143,3
426,27,99455,23
427,35,123716,75
428,52,90035,74
429,60,57677,50
430,67,76321,36
431,20,133782,13
432,57,129398,29
433,44,78973,38
434,45,72414,77
435,63,45602,90
436,23,137677,84
437,64,49692,5
438,31,125958,20
439,24,68750,78
440,27,136912,14
441,32,41760,8
442,48,88456,48
443,46,44085,13
444,59,83964,24
445,34,42925,79
446,68,25615,65
447,46,57083,86
448,66,140788,34
449,61,130764,51
450,32,88319,3
451,43,29605,90
452,29,131093,78
453,42,64608,58
454,58,148788,72
455,22,39192,55
456,21,23331,80
457,61,71330,42
458,65,117392,21
459,58,69949,10
460,48,88382,57
461,20,119233,25
462,20,57586,56
463,43,72243,38
464,67,120566,86
465,34,144213,61
466,27,78618,47
467,19,98311,54
468,41,27549,46
469,28,138168,68
470,41,72494,4
471,52,107973,94
472,40,43958,66
473,49,109779,93
474,40,127713,43
475,51,127960,62
476,58,114520,85
477,36,122478,85
478,19,149203,85
479,68,141835,4
480,19,57538,65
481,32,25833,62
482,38,142893,90
483,52,43386,2
484,22,136981,9
485,60,120349,57
486,44,119341,45
487,41,91778,18
488,24,114240,48
489,23,127955,42
490,63,44832,41
491,50,97857,75
492,66,58930,89
493,34,52407,90
494,63,24073,58
495,59,37667,42
496,47,36035,35
497,25,26732,38
498,57,75097,67
499,63,23487,41
500,24,120488,99
