PassengerId,Survived,Pclass,Name,Sex,Age,Fare
69,1,3,Passenger_69,male,10.0,163.14
70,1,1,Passenger_70,female,55.4,114.54
71,1,1,Passenger_71,male,37.5,18.25
72,1,1,Passenger_72,female,33.8,130.3
73,0,1,Passenger_73,female,28.5,190.77
74,1,3,Passenger_74,male,39.8,124.31
75,0,2,Passenger_75,male,34.5,165.65
76,1,1,Passenger_76,female,48.2,178.0
77,1,2,Passenger_77,male,36.4,53.34
78,1,3,Passenger_78,male,36.8,50.29
79,0,3,Passenger_79,female,30.6,126.09
80,1,3,Passenger_80,female,34.3,88.1
81,0,1,Passenger_81,male,38.7,169.57
82,1,2,Passenger_82,female,14.5,181.0
83,0,2,Passenger_83,male,18.8,77.15
84,1,2,Passenger_84,male,43.9,55.01
85,0,3,Passenger_85,male,37.1,158.3
86,0,1,Passenger_86,female,32.8,62.21
87,1,3,Passenger_87,male,35.2,166.3
88,0,3,Passenger_88,male,39.2,90.51
89,1,2,Passenger_89,male,28.5,136.83
90,1,3,Passenger_90,female,25.7,28.15
91,1,2,Passenger_91,female,37.4,128.53
92,1,1,Passenger_92,female,23.3,95.84
93,1,2,Passenger_93,female,39.9,121.46
94,1,1,Passenger_94,female,14.6,41.92
95,1,2,Passenger_95,male,47.3,150.01
96,1,3,Passenger_96,female,40.7,173.93
97,1,3,Passenger_97,female,38.1,51.18
98,1,1,Passenger_98,female,46.8,28.19
99,1,1,Passenger_99,male,55.0,14.49
100,0,1,Passenger_100,female,47.2,131.97
101,0,2,Passenger_101,female,12.9,125.35
102,1,2,Passenger_102,male,19.6,113.87
103,1,1,Passenger_103,female,27.5,54.07
104,1,3,Passenger_104,male,35.3,84.27
105,1,2,Passenger_105,male,41.2,122.95
106,1,2,Passenger_106,male,26.3,104.39
107,1,2,Passenger_107,male,37.2,197.68
108,1,1,Passenger_108,male,25.9,35.92
109,1,1,Passenger_109,female,27.7,142.08
110,0,1,Passenger_110,male,18.1,86.82
111,1,1,Passenger_111,male,23.9,91.36
112,0,1,Passenger_112,female,18.8,146.34
113,1,3,Passenger_113,male,23.3,141.56
114,1,3,Passenger_114,female,47.6,198.34
115,0,1,Passenger_115,female,23.6,34.39
116,1,2,Passenger_116,female,66.6,29.78
117,0,1,Passenger_117,male,40.9,147.62
118,1,3,Passenger_118,male,37.2,119.89
119,1,3,Passenger_119,male,24.7,62.09
120,0,2,Passenger_120,female,43.4,25.09
121,1,3,Passenger_121,male,28.1,26.28
122,0,1,Passenger_122,male,36.5,179.9
123,1,2,Passenger_123,male,65.7,46.45
124,0,1,Passenger_124,female,33.8,71.44
125,0,1,Passenger_125,female,48.8,53.06
126,1,2,Passenger_126,male,26.6,77.45
127,1,1,Passenger_127,male,34.6,23.19
128,0,3,Passenger_128,male,56.2,108.62
129,1,1,Passenger_129,male,27.5,22.85
130,1,2,Passenger_130,female,,162.07
131,1,2,Passenger_131,female,43.5,54.41
132,0,2,Passenger_132,female,28.3,112.6
133,0,1,Passenger_133,female,42.6,177.22
134,0,2,Passenger_134,male,46.7,133.67
135,0,2,Passenger_135,male,,111.26
136,0,1,Passenger_136,male,,71.62
137,0,3,Passenger_137,female,26.3,73.27
138,0,1,Passenger_138,male,32.0,137.2
139,0,2,Passenger_139,female,34.1,198.89
140,0,2,Passenger_140,female,,135.75
141,1,1,Passenger_141,male,,115.98
142,0,3,Passenger_142,male,19.0,148.82
143,1,2,Passenger_143,male,39.6,98.39
144,1,2,Passenger_144,female,42.3,21.43
145,1,2,Passenger_145,male,41.7,116.84
146,0,1,Passenger_146,female,48.0,191.95
147,0,2,Passenger_147,male,45.0,43.31
148,0,3,Passenger_148,female,40.5,141.1
149,0,2,Passenger_149,female,34.2,48.18
150,1,2,Passenger_150,male,15.1,111.81
151,0,3,Passenger_151,female,40.2,28.37
152,0,2,Passenger_152,female,37.5,95.57
153,0,1,Passenger_153,male,38.3,153.67
154,0,1,Passenger_154,female,19.7,76.04
155,0,1,Passenger_155,male,22.0,136.33
156,1,3,Passenger_156,female,47.6,161.14
157,0,2,Passenger_157,male,34.5,186.16
158,1,1,Passenger_158,male,43.2,54.58
159,0,3,Passenger_159,female,35.3,85.87
160,1,2,Passenger_160,female,35.4,38.96
161,0,3,Passenger_161,female,46.3,198.57
162,0,1,Passenger_162,female,28.8,186.13
163,1,1,Passenger_163,female,36.2,112.59
164,1,1,Passenger_164,male,29.5,169.99
165,1,3,Passenger_165,female,29.8,108.98
166,0,3,Passenger_166,male,31.3,128.48
167,1,1,Passenger_167,male,37.7,26.93
168,0,3,Passenger_168,female,29.3,153.5
169,0,1,Passenger_169,male,50.1,34.27
170,1,1,Passenger_170,male,24.3,166.95
171,1,2,Passenger_171,male,32.8,158.59
172,0,3,Passenger_172,male,29.7,144.66
173,0,1,Passenger_173,female,52.4,16.87
174,1,1,Passenger_174,male,37.4,67.59
175,1,3,Passenger_175,female,47.4,59.99
176,1,2,Passenger_176,female,17.2,78.43
177,0,2,Passenger_177,male,38.2,26.65
178,0,1,Passenger_178,female,45.7,188.02
179,0,3,Passenger_179,female,36.0,115.22
180,0,2,Passenger_180,female,47.8,68.05
181,0,3,Passenger_181,male,28.8,85.43
182,0,3,Passenger_182,female,51.9,94.97
183,1,1,Passenger_183,female,62.6,124.11
184,0,2,Passenger_184,female,30.6,107.98
185,0,1,Passenger_185,male,29.7,184.68
186,0,2,Passenger_186,female,52.4,104.42
187,1,2,Passenger_187,male,54.0,198.51
188,0,2,Passenger_188,male,28.7,171.77
189,0,2,Passenger_189,male,30.0,49.62
190,1,2,Passenger_190,male,31.6,186.81
191,0,3,Passenger_191,male,18.9,32.11
192,0,1,Passenger_192,male,24.0,165.32
193,0,3,Passenger_193,female,23.0,82.32
194,0,2,Passenger_194,male,,176.82
195,0,1,Passenger_195,female,34.6,174.93
196,1,2,Passenger_196,female,37.8,163.13
197,1,1,Passenger_197,male,53.6,160.11
198,1,3,Passenger_198,female,23.0,67.89
199,0,1,Passenger_199,female,46.8,25.37
200,0,1,Passenger_200,female,32.4,86.57
201,0,1,Passenger_201,female,34.4,42.97
202,1,1,Passenger_202,male,43.1,142.04
203,0,1,Passenger_203,female,21.5,75.76
204,0,2,Passenger_204,male,39.6,195.37
205,1,1,Passenger_205,female,37.0,131.78
206,0,1,Passenger_206,female,40.9,166.27
207,1,3,Passenger_207,male,38.5,35.18
208,1,1,Passenger_208,female,64.5,173.78
209,1,3,Passenger_209,female,27.3,185.32
210,0,2,Passenger_210,female,28.6,102.54
211,0,1,Passenger_211,male,27.5,125.19
212,0,3,Passenger_212,female,28.3,155.31
213,0,3,Passenger_213,male,27.4,43.22
214,0,2,Passenger_214,female,49.3,105.49
215,0,1,Passenger_215,male,52.0,85.75
216,0,1,Passenger_216,male,28.2,37.81
217,1,3,Passenger_217,female,25.0,79.83
218,0,1,Passenger_218,female,40.7,22.95
219,1,3,Passenger_219,male,28.4,14.9
220,0,1,Passenger_220,male,42.6,35.68
221,0,3,Passenger_221,female,37.4,192.99
222,0,1,Passenger_222,male,16.8,114.41
223,1,2,Passenger_223,female,53.6,193.51
224,1,1,Passenger_224,female,,92.17
225,1,1,Passenger_225,female,27.6,69.25
226,1,2,Passenger_226,female,30.3,106.17
227,0,1,Passenger_227,male,38.4,93.51
228,1,2,Passenger_228,female,39.0,30.08
229,0,1,Passenger_229,male,,131.76
230,0,3,Passenger_230,female,59.1,51.05
231,1,3,Passenger_231,male,32.9,127.72
232,1,1,Passenger_232,female,25.4,133.54
233,1,1,Passenger_233,male,18.4,38.88
234,1,1,Passenger_234,male,26.2,21.66
235,1,3,Passenger_235,female,,158.34
236,1,1,Passenger_236,female,56.5,97.36
237,1,3,Passenger_237,female,28.8,21.05
238,1,2,Passenger_238,female,37.7,199.02
239,0,3,Passenger_239,male,34.8,20.98
240,1,3,Passenger_240,female,49.3,142.06
241,1,2,Passenger_241,male,65.3,196.9
242,0,3,Passenger_242,male,28.6,55.44
243,1,1,Passenger_243,female,29.1,37.03
244,0,1,Passenger_244,male,47.5,33.06
245,0,3,Passenger_245,male,43.2,67.62
246,1,1,Passenger_246,male,57.2,29.2
247,0,3,Passenger_247,male,42.0,141.51
248,0,1,Passenger_248,female,30.7,21.84
249,0,1,Passenger_249,female,42.1,106.79
250,0,3,Passenger_250,female,48.3,199.37
251,1,1,Passenger_251,female,44.8,164.65
252,0,3,Passenger_252,male,41.1,126.89
253,1,1,Passenger_253,male,47.8,68.19
254,0,1,Passenger_254,female,49.0,128.54
255,0,2,Passenger_255,female,51.6,110.14
256,0,2,Passenger_256,female,42.8,90.96
257,0,3,Passenger_257,male,33.0,34.83
258,1,2,Passenger_258,female,36.8,178.45
259,1,3,Passenger_259,female,49.5,95.46
260,0,2,Passenger_260,female,25.2,46.98
261,0,1,Passenger_261,male,39.4,79.87
262,1,3,Passenger_262,male,30.3,88.68
263,0,3,Passenger_263,male,35.3,167.23
264,0,1,Passenger_264,male,50.3,149.39
265,0,3,Passenger_265,male,37.3,156.17
266,1,3,Passenger_266,male,,12.1
267,1,2,Passenger_267,male,18.7,89.07
268,1,3,Passenger_268,male,44.0,101.46
269,0,1,Passenger_269,female,42.7,13.65
270,0,2,Passenger_270,female,61.0,59.36
271,1,2,Passenger_271,male,31.3,154.46
272,1,1,Passenger_272,male,37.6,36.05
273,1,1,Passenger_273,female,38.0,111.71
274,1,2,Passenger_274,male,53.9,50.89
275,0,3,Passenger_275,male,33.9,12.3
276,1,2,Passenger_276,male,38.3,55.83
277,0,1,Passenger_277,female,42.3,195.42
278,1,2,Passenger_278,female,,162.29
279,0,1,Passenger_279,female,29.6,192.32
280,1,2,Passenger_280,female,37.3,102.69
281,1,3,Passenger_281,female,47.9,30.85
282,1,2,Passenger_282,male,22.7,114.11
283,1,2,Passenger_283,female,36.6,96.33
284,0,1,Passenger_284,male,26.6,170.43
285,1,1,Passenger_285,male,,28.64
286,0,1,Passenger_286,female,16.7,102.77
287,0,2,Passenger_287,female,28.3,38.51
288,0,3,Passenger_288,male,39.5,71.69
289,0,1,Passenger_289,male,53.8,150.1
290,1,1,Passenger_290,male,,100.44
291,0,2,Passenger_291,female,28.3,81.42
292,0,1,Passenger_292,female,57.6,84.95
293,0,3,Passenger_293,female,17.6,97.29
294,1,3,Passenger_294,female,8.6,159.15
295,1,1,Passenger_295,female,40.3,179.5
296,1,1,Passenger_296,male,29.0,191.51
297,1,2,Passenger_297,female,22.7,159.51
298,0,3,Passenger_298,male,43.5,69.93
299,0,3,Passenger_299,male,37.9,140.75
300,1,1,Passenger_300,male,28.2,93.14
301,0,2,Passenger_301,female,19.6,58.39
302,0,3,Passenger_302,female,45.5,169.77
303,0,3,Passenger_303,female,42.8,17.3
304,1,2,Passenger_304,male,33.8,181.33
305,1,2,Passenger_305,male,57.2,97.68
306,0,3,Passenger_306,male,22.2,131.07
307,1,3,Passenger_307,male,16.7,135.28
308,1,2,Passenger_308,male,26.7,180.07
309,1,3,Passenger_309,male,,130.97
310,1,1,Passenger_310,female,37.9,126.65
311,1,1,Passenger_311,female,32.1,22.66
312,0,2,Passenger_312,female,39.2,108.5
313,1,2,Passenger_313,female,20.0,38.53
314,0,2,Passenger_314,male,52.3,150.11
315,0,1,Passenger_315,male,34.0,107.32
316,1,3,Passenger_316,female,48.4,139.24
317,0,1,Passenger_317,male,,17.92
318,0,3,Passenger_318,female,40.5,26.11
319,0,1,Passenger_319,female,41.8,146.1
320,1,3,Passenger_320,female,40.4,23.7
321,1,1,Passenger_321,male,42.7,23.54
322,0,2,Passenger_322,female,50.9,12.3
323,1,1,Passenger_323,female,37.4,191.74
324,1,3,Passenger_324,female,43.5,150.13
325,1,1,Passenger_325,male,33.9,77.12
326,1,1,Passenger_326,male,52.3,66.34
327,0,1,Passenger_327,female,26.9,76.44
328,0,2,Passenger_328,male,56.6,157.18
329,1,1,Passenger_329,male,34.5,135.66
330,1,2,Passenger_330,male,17.8,45.19
331,0,2,Passenger_331,male,36.5,43.08
332,0,1,Passenger_332,male,26.8,28.7
333,1,1,Passenger_333,male,45.1,135.46
334,0,1,Passenger_334,male,27.2,155.23
335,1,3,Passenger_335,male,29.6,60.36
336,1,1,Passenger_336,male,12.3,13.98
337,0,2,Passenger_337,male,29.6,25.61
338,0,1,Passenger_338,female,5.9,193.89
339,1,3,Passenger_339,female,16.0,66.13
340,1,1,Passenger_340,male,44.1,156.15
341,0,3,Passenger_341,female,44.4,128.69
342,1,3,Passenger_342,female,40.1,82.57
343,0,1,Passenger_343,male,23.4,49.08
344,1,2,Passenger_344,male,34.4,33.06
345,0,3,Passenger_345,male,35.0,126.85
346,0,1,Passenger_346,female,21.1,157.18
347,0,1,Passenger_347,female,53.0,132.34
348,1,2,Passenger_348,male,45.5,110.76
349,1,3,Passenger_349,male,32.3,17.97
350,0,3,Passenger_350,male,35.3,194.01
351,1,1,Passenger_351,female,37.5,161.76
352,0,1,Passenger_352,female,10.5,65.64
353,0,2,Passenger_353,female,32.0,196.19
354,1,2,Passenger_354,female,26.8,124.36
355,1,3,Passenger_355,male,23.0,120.66
356,0,3,Passenger_356,male,31.6,152.13
357,1,1,Passenger_357,male,56.6,164.24
358,1,3,Passenger_358,male,42.7,134.73
359,0,2,Passenger_359,female,,34.34
360,0,2,Passenger_360,female,41.9,74.27
361,1,1,Passenger_361,male,51.8,186.34
362,0,2,Passenger_362,male,46.1,52.68
363,0,2,Passenger_363,female,35.7,80.71
364,1,2,Passenger_364,male,27.2,92.09
365,0,2,Passenger_365,female,43.4,93.49
366,0,1,Passenger_366,male,39.7,126.46
367,1,1,Passenger_367,male,45.7,189.18
368,1,3,Passenger_368,male,42.6,55.73
369,0,2,Passenger_369,male,47.6,33.09
370,0,3,Passenger_370,male,,47.52
371,1,1,Passenger_371,male,50.8,178.52
372,1,1,Passenger_372,male,37.4,132.7
373,1,1,Passenger_373,female,,64.32
374,1,1,Passenger_374,female,26.7,165.03
375,0,1,Passenger_375,female,55.8,173.66
376,1,1,Passenger_376,female,37.4,170.84
377,1,1,Passenger_377,female,27.2,184.6
378,0,2,Passenger_378,male,29.2,57.93
379,1,3,Passenger_379,male,31.2,153.46
380,0,1,Passenger_380,female,40.1,97.5
381,1,2,Passenger_381,male,41.3,169.98
382,1,2,Passenger_382,female,28.1,148.41
383,1,3,Passenger_383,female,34.7,157.53
384,0,1,Passenger_384,male,60.7,134.67
385,0,3,Passenger_385,male,55.7,43.71
386,1,1,Passenger_386,male,40.2,113.56
387,0,2,Passenger_387,female,35.5,197.09
388,0,2,Passenger_388,male,36.4,188.1
389,0,2,Passenger_389,female,,18.2
390,0,2,Passenger_390,female,22.7,41.31
391,0,3,Passenger_391,female,31.9,35.03
392,0,1,Passenger_392,male,15.0,147.94
393,1,1,Passenger_393,male,39.8,165.38
394,1,3,Passenger_394,female,42.8,50.57
395,0,1,Passenger_395,male,29.2,106.11
396,1,2,Passenger_396,male,53.9,169.73
397,1,1,Passenger_397,male,20.3,149.23
398,1,2,Passenger_398,female,17.4,113.03
399,1,3,Passenger_399,female,37.7,122.17
400,0,1,Passenger_400,male,47.6,106.59
401,1,3,Passenger_401,female,55.2,66.53
402,1,1,Passenger_402,male,29.5,117.35
403,0,2,Passenger_403,male,47.9,140.89
404,0,3,Passenger_404,male,34.5,175.93
405,1,1,Passenger_405,male,32.9,130.9
406,1,2,Passenger_406,female,45.6,154.61
407,1,3,Passenger_407,female,42.8,40.41
408,1,3,Passenger_408,female,16.1,97.7
409,1,1,Passenger_409,male,52.7,11.77
410,1,1,Passenger_410,male,51.6,56.87
411,0,1,Passenger_411,male,27.5,148.03
412,1,2,Passenger_412,female,39.7,198.44
413,1,1,Passenger_413,male,,28.84
414,0,3,Passenger_414,female,38.1,86.28
415,0,3,Passenger_415,female,28.4,162.01
416,0,1,Passenger_416,female,26.9,48.77
417,0,1,Passenger_417,female,34.7,115.47
418,1,3,Passenger_418,female,49.1,149.28
419,1,2,Passenger_419,female,41.5,127.04
420,1,1,Passenger_420,male,30.6,45.72
421,1,1,Passenger_421,male,44.3,77.52
422,1,3,Passenger_422,female,0.8,158.92
423,1,1,Passenger_423,female,48.8,115.3
424,0,2,Passenger_424,male,14.1,10.99
425,1,3,Passenger_425,female,30.7,154.59
426,0,1,Passenger_426,female,21.6,16.71
427,0,3,Passenger_427,male,19.5,151.69
428,1,1,Passenger_428,female,48.9,48.47
429,0,1,Passenger_429,female,,192.03
430,1,1,Passenger_430,female,39.2,79.91
431,0,2,Passenger_431,male,34.4,72.12
432,1,2,Passenger_432,male,40.7,38.29
433,0,3,Passenger_433,male,35.9,68.06
434,1,1,Passenger_434,female,19.6,176.56
435,1,1,Passenger_435,female,47.0,199.3
436,1,2,Passenger_436,male,29.1,79.98
437,1,1,Passenger_437,female,16.3,95.24
438,1,2,Passenger_438,female,29.9,147.19
439,0,1,Passenger_439,female,53.0,178.38
440,0,3,Passenger_440,female,,122.68
441,0,1,Passenger_441,female,30.8,84.39
442,1,1,Passenger_442,male,30.8,88.4
443,0,2,Passenger_443,female,31.1,142.17
444,1,1,Passenger_444,male,59.9,10.61
445,1,1,Passenger_445,female,39.6,127.72
446,0,2,Passenger_446,male,40.2,77.54
447,0,3,Passenger_447,female,47.4,160.9
448,1,3,Passenger_448,male,37.9,27.67
449,0,2,Passenger_449,female,,121.76
450,1,2,Passenger_450,male,32.6,101.38
451,1,2,Passenger_451,female,34.1,132.04
452,1,2,Passenger_452,male,34.6,22.32
453,1,2,Passenger_453,female,43.7,120.2
454,1,3,Passenger_454,male,35.6,116.68
455,0,3,Passenger_455,male,43.8,116.53
456,0,2,Passenger_456,female,34.0,124.66
457,1,1,Passenger_457,female,,138.53
458,1,2,Passenger_458,male,11.0,162.95
459,0,1,Passenger_459,female,46.0,61.27
460,0,2,Passenger_460,male,39.2,166.76
461,1,2,Passenger_461,male,47.0,104.67
462,0,3,Passenger_462,male,0.2,24.64
463,1,1,Passenger_463,female,60.1,21.12
464,0,1,Passenger_464,male,33.3,73.51
465,1,3,Passenger_465,male,48.3,159.13
466,0,3,Passenger_466,female,,144.46
467,1,3,Passenger_467,female,42.4,159.84
468,0,3,Passenger_468,female,22.4,108.28
469,0,1,Passenger_469,female,,93.64
470,1,1,Passenger_470,male,58.0,38.02
471,0,2,Passenger_471,male,32.7,72.36
472,1,2,Passenger_472,male,37.6,92.46
473,0,3,Passenger_473,male,45.4,26.83
474,1,3,Passenger_474,female,40.9,51.92
475,0,3,Passenger_475,male,36.8,123.66
476,1,2,Passenger_476,male,39.4,149.78
477,0,2,Passenger_477,female,63.8,199.69
478,1,2,Passenger_478,male,34.3,187.29
479,0,2,Passenger_479,male,37.4,132.09
480,1,2,Passenger_480,male,47.6,90.04
481,1,2,Passenger_481,male,48.3,130.87
482,1,2,Passenger_482,male,49.2,159.27
483,0,3,Passenger_483,male,42.7,32.48
484,1,3,Passenger_484,female,21.3,87.88
485,0,3,Passenger_485,female,54.6,169.56
486,1,3,Passenger_486,male,21.2,82.93
487,0,2,Passenger_487,male,,118.66
488,1,1,Passenger_488,female,25.9,121.68
489,0,2,Passenger_489,male,34.2,45.05
490,0,1,Passenger_490,male,38.9,78.82
491,1,3,Passenger_491,male,38.9,73.56
492,0,2,Passenger_492,female,40.1,14.98
493,0,3,Passenger_493,male,54.4,14.6
494,1,2,Passenger_494,female,40.4,168.02
495,0,3,Passenger_495,male,32.1,61.88
496,0,1,Passenger_496,female,46.6,108.43
497,0,1,Passenger_497,female,49.3,66.76
498,1,1,Passenger_498,male,20.3,188.73
499,0,2,Passenger_499,female,42.2,59.27
500,1,1,Passenger_500,male,43.4,91.63
