sepal_length,sepal_width,petal_length,petal_width,species
6.0,4.0,5.0,0.5,virginica
4.4,3.6,1.8,1.0,virginica
7.8,2.3,6.9,1.1,setosa
7.7,2.6,4.1,1.9,virginica
6.1,4.1,3.3,0.1,setosa
4.6,2.4,4.9,0.7,virginica
7.0,2.7,1.6,1.3,versicolor
6.1,2.3,4.8,0.7,setosa
5.4,3.6,3.9,1.6,setosa
6.1,4.3,3.4,1.3,versicolor
6.2,2.6,6.6,1.0,setosa
6.3,3.1,4.1,2.4,virginica
5.9,3.5,2.3,1.6,virginica
6.5,4.4,3.7,0.4,setosa
7.6,2.3,6.4,1.4,virginica
5.6,3.2,2.0,2.0,setosa
6.9,2.9,2.3,1.8,versicolor
7.5,4.1,1.1,0.5,setosa
5.9,3.1,1.1,2.4,versicolor
5.9,2.3,5.9,1.2,virginica
6.5,3.5,5.3,0.5,versicolor
6.4,3.8,3.1,0.5,virginica
7.2,2.0,5.1,0.3,setosa
6.0,4.1,3.3,2.0,virginica
7.9,2.4,6.6,0.4,setosa
4.5,3.3,6.7,0.4,setosa
4.3,3.0,3.3,2.1,versicolor
6.6,3.7,6.0,0.9,versicolor
5.4,2.9,5.6,0.2,versicolor
5.2,4.1,2.8,0.2,versicolor
5.4,3.8,2.4,0.4,virginica
5.2,3.6,3.7,0.6,virginica
4.4,3.9,5.6,1.7,virginica
7.8,3.8,6.7,0.5,setosa
5.1,2.1,5.5,0.4,virginica
6.9,2.9,6.0,1.9,virginica
7.0,4.2,4.6,1.7,virginica
7.6,2.3,5.9,1.1,versicolor
4.4,3.8,5.6,1.4,virginica
7.4,4.3,3.2,0.8,setosa
6.2,2.1,4.3,1.3,versicolor
6.6,3.6,5.7,1.3,setosa
6.6,3.1,1.3,1.0,virginica
7.3,3.4,5.8,2.3,versicolor
5.5,2.2,2.0,0.1,setosa
6.9,2.1,4.0,2.0,virginica
6.2,3.6,5.8,0.4,setosa
7.2,4.0,2.5,2.0,setosa
7.9,3.9,2.5,1.6,setosa
5.0,3.3,3.4,2.1,virginica
7.9,2.2,6.3,0.3,virginica
4.6,3.7,1.0,1.4,setosa
4.3,2.6,6.3,1.3,versicolor
4.5,4.2,1.9,1.8,versicolor
5.5,4.0,6.8,1.4,virginica
6.6,3.7,6.6,1.4,virginica
4.5,4.3,3.9,1.1,virginica
4.3,2.1,4.0,0.8,virginica
7.7,3.8,3.8,1.3,virginica
7.3,2.8,4.7,0.4,versicolor
7.2,4.2,1.5,2.4,virginica
7.5,2.6,1.2,1.8,setosa
6.8,3.7,1.3,2.4,setosa
4.7,4.1,3.6,0.6,versicolor
5.7,2.1,2.6,2.2,setosa
6.9,3.0,4.7,2.0,versicolor
5.3,3.8,6.9,1.7,versicolor
6.8,3.1,3.3,1.6,setosa
4.4,2.6,4.4,0.9,virginica
5.4,2.5,3.5,2.1,setosa
6.3,2.3,6.0,1.3,setosa
6.6,4.1,6.3,0.3,versicolor
6.4,3.4,6.2,0.9,setosa
6.8,2.2,6.7,2.3,versicolor
4.3,2.9,1.2,2.1,virginica
4.7,2.9,6.0,2.5,virginica
7.4,2.4,5.4,1.6,virginica
6.8,3.0,2.3,0.7,setosa
4.7,2.8,6.6,0.5,versicolor
7.3,2.8,1.9,0.5,virginica
5.2,3.8,5.0,0.1,versicolor
6.0,2.5,2.3,1.0,versicolor
4.8,3.5,3.5,0.6,virginica
6.9,3.4,5.2,1.1,virginica
6.7,3.4,4.3,2.3,versicolor
5.1,3.6,3.5,1.1,virginica
7.4,3.3,2.9,2.2,versicolor
5.7,4.1,6.0,1.6,versicolor
5.4,3.6,1.8,0.7,virginica
4.8,3.3,3.5,1.0,setosa
5.3,4.0,6.3,0.3,virginica
4.4,3.5,6.0,0.9,setosa
6.4,2.7,3.4,1.7,versicolor
7.3,2.5,5.5,0.3,versicolor
6.3,2.4,5.9,0.6,setosa
