date,region,sales,profit
2025-12-03,East,6159,245
2025-10-24,South,9446,1898
2025-08-02,East,6262,615
2025-10-18,North,4823,552
2025-01-22,North,2876,159
2025-07-12,West,7154,627
2025-05-30,East,8787,1123
2025-09-04,South,5516,2621
2025-09-24,West,4734,1664
2025-09-08,East,6972,2904
2025-01-03,West,7639,2929
2025-11-12,South,6356,1202
2025-03-17,West,7380,532
2025-03-28,West,2008,1276
2025-09-27,West,5314,500
2025-08-13,East,3508,2204
2025-01-18,South,5758,2333
2025-04-23,North,3682,2545
2025-09-08,East,8311,704
2025-08-21,North,1989,2935
2025-11-25,North,9446,2305
2025-10-06,East,5711,1910
2025-07-21,East,7479,1563
2025-03-24,South,7964,2736
2025-05-05,South,9075,2613
2025-06-24,West,5452,2593
2025-03-10,North,9447,1873
2025-02-16,South,2007,2948
2025-09-13,West,7496,1653
2025-08-03,South,8688,1196
2025-01-30,East,4908,1028
2025-10-08,South,3803,2051
2025-08-25,North,5379,2073
2025-09-05,South,1098,2164
2025-01-25,North,9388,1654
2025-03-15,East,1877,2878
2025-07-25,North,2868,425
2025-11-10,South,3665,1094
2025-04-04,West,2388,712
2025-05-07,East,3415,2693
2025-01-25,South,9761,695
2025-11-30,East,3637,1020
2025-12-21,East,8242,941
2025-04-26,South,9613,1325
2025-02-17,South,3883,443
2025-08-14,West,2204,1976
2025-09-23,East,1544,958
2025-04-09,East,2223,1523
2025-01-11,South,4172,544
2025-03-26,North,9959,1888
2025-08-02,South,7450,321
2025-06-22,East,7520,691
2025-07-28,South,1654,1130
2025-03-05,West,7821,1395
2025-09-15,North,3446,1117
2025-11-28,South,6892,2163
2025-05-01,West,9412,1547
2025-10-25,East,4666,2145
2025-02-23,South,5277,623
2025-11-27,East,5402,2950
2025-09-29,West,3569,2168
2025-08-29,East,6515,2375
2025-08-31,West,4985,1908
2025-01-18,West,9167,1411
2025-07-06,West,8448,2956
2025-12-12,South,5310,1406
2025-05-24,East,4019,2551
2025-09-19,East,4681,1189
2025-12-30,North,5196,1772
2025-08-27,North,1572,536
2025-10-31,North,5753,928
2025-10-25,North,8082,358
2025-03-17,East,5002,2103
2025-07-07,West,6629,2089
2025-11-29,West,9417,202
2025-09-03,South,5200,1092
2025-05-10,West,2997,868
2025-11-11,East,9963,1224
2025-10-10,East,8422,1321
2025-03-20,East,5524,2960
2025-03-13,South,9625,2373
2025-09-20,North,4407,2610
2025-07-10,West,7731,336
2025-03-04,East,8795,1244
2025-01-12,East,3793,2653
2025-05-21,North,8334,2961
2025-09-11,East,3911,866
2025-02-12,West,8952,2781
2025-01-17,South,3415,1090
2025-03-04,East,1250,2765
2025-09-10,West,5951,1859
2025-10-19,East,9098,2420
2025-01-08,North,6289,2379
2025-11-21,East,9102,2915
2025-03-31,East,8257,595
2025-07-27,South,6565,1147
2025-10-19,North,7437,1826
2025-10-11,North,2173,2649
2025-04-28,South,9624,2172
2025-12-15,East,1835,2435
2025-06-24,West,3262,437
2025-03-17,North,5567,2037
2025-04-11,North,4815,1917
2025-05-31,East,1246,236
2025-09-27,East,3429,2655
2025-03-12,North,6287,2374
2025-06-29,East,3607,419
2025-05-04,West,6930,1963
2025-10-20,North,5022,1015
2025-10-12,West,5784,1305
2025-07-14,West,7617,1997
2025-08-16,East,4151,2233
2025-10-02,West,6580,1025
2025-04-16,East,8054,2200
2025-01-21,South,8706,1358
2025-03-05,East,8619,2082
2025-06-14,West,5573,532
2025-01-27,South,4491,1098
2025-11-07,East,1706,2247
2025-10-12,West,7997,1089
2025-05-28,North,6233,698
2025-10-08,North,9945,2550
2025-11-22,East,6755,495
2025-11-15,East,7960,514
2025-06-13,North,9779,1038
2025-08-12,West,2334,1736
2025-09-29,West,6588,2824
2025-05-26,West,2847,2610
2025-12-22,East,7851,640
2025-01-30,South,8211,1749
2025-02-14,South,8865,2045
2025-10-02,South,4317,183
2025-02-03,South,7811,370
2025-05-21,South,1164,2391
2025-11-14,East,8060,487
2025-08-09,East,4057,313
2025-12-22,South,5428,2965
2025-01-22,East,1402,158
2025-06-29,East,9605,1725
2025-11-25,South,9236,942
2025-08-19,West,7349,1627
2025-02-07,East,5157,1829
2025-03-11,West,1867,222
2025-04-26,East,9210,1536
2025-08-27,East,1364,1262
2025-12-01,South,8467,2586
2025-05-28,East,7571,661
2025-01-09,North,1579,2265
2025-10-15,North,8674,1837
2025-02-19,South,9737,1004
2025-12-04,West,7468,494
2025-01-05,West,5150,1826
2025-12-09,West,4039,1816
2025-05-06,North,5137,1034
2025-03-16,West,1452,1201
2025-06-14,West,7537,1535
2025-10-05,South,2381,174
2025-11-20,West,9154,394
2025-10-27,North,2467,120
2025-10-17,North,3738,1138
2025-03-18,North,8572,1334
2025-10-25,South,7747,659
2025-05-17,South,1880,1209
2025-04-16,East,4149,1272
2025-04-05,West,9276,471
2025-05-15,South,8892,2127
2025-03-09,North,5144,917
2025-05-27,North,2168,1274
2025-06-08,South,4129,1264
2025-06-12,South,4645,1192
2025-12-07,South,3526,1383
2025-07-08,East,4516,2111
2025-12-05,North,4367,945
2025-04-05,East,8338,2091
2025-06-30,East,4555,620
2025-10-15,West,6111,470
2025-11-18,North,7752,1542
2025-07-06,North,1445,200
2025-05-18,South,7364,760
2025-05-10,South,4626,1781
2025-07-13,West,5016,342
2025-11-12,East,4875,2900
2025-09-30,South,6497,611
2025-12-18,South,7238,2996
2025-05-24,North,1261,2702
2025-01-16,North,5992,2373
2025-10-29,South,5025,1641
2025-09-02,North,9283,2361
2025-04-17,West,5222,2865
2025-03-29,South,5175,2214
2025-05-09,North,4443,495
2025-12-07,West,6011,711
2025-01-04,North,1693,1360
2025-11-23,North,9347,1957
2025-11-02,North,2812,869
2025-04-05,South,6724,1522
2025-07-28,East,2407,506
2025-08-13,North,9032,1972
2025-12-14,West,2410,1603
2025-11-17,South,4497,2794
2025-02-16,South,5372,2369
2025-06-30,West,8394,1279
2025-04-16,North,1551,753
2025-07-18,East,5332,2575
2025-04-16,North,1997,1281
2025-10-07,West,5076,1076
2025-09-17,South,7099,1539
2025-04-18,East,6555,2518
2025-01-19,South,5052,1467
2025-10-23,West,6303,2997
2025-11-02,North,9118,328
2025-06-20,East,7102,2427
2025-11-27,South,6490,1993
2025-07-14,South,9564,1413
2025-01-12,South,6616,1170
2025-07-14,North,3248,1074
2025-10-10,East,1848,1838
2025-07-01,North,7354,857
2025-11-01,North,9695,420
2025-05-24,North,9070,2421
2025-11-12,West,9894,655
2025-07-01,West,4625,943
2025-01-30,West,1314,1436
2025-03-25,East,3376,1486
2025-06-15,North,5378,767
2025-10-11,North,9449,2527
2025-10-08,West,1574,2858
2025-04-06,North,6585,2042
2025-09-23,North,6492,2104
2025-10-25,South,9949,2030
2025-10-23,North,3810,845
2025-08-13,South,9134,774
2025-11-29,North,6670,2263
2025-12-27,East,8715,2752
2025-02-11,West,7567,1165
2025-10-30,South,4459,2526
2025-09-03,West,7117,2613
2025-07-27,South,4992,2427
2025-08-25,South,8837,717
2025-01-22,South,1203,2265
2025-07-04,East,3775,2456
2025-08-30,North,2992,2247
2025-12-29,South,3243,2408
2025-10-10,East,9498,1092
2025-02-10,South,2687,1428
2025-12-02,North,5109,1477
2025-06-11,South,2860,385
2025-06-09,East,6176,2475
2025-03-30,North,1722,2210
2025-11-18,East,9971,786
2025-01-12,North,9720,1405
2025-03-14,North,5893,1564
2025-03-17,West,1343,837
2025-12-12,West,6398,2786
2025-07-20,West,9400,2058
2025-01-10,North,5736,1994
2025-12-18,South,4406,2623
2025-08-14,East,1919,1585
2025-06-25,East,6819,2200
2025-10-03,East,3044,2901
2025-02-08,West,1418,585
2025-03-01,North,2749,1613
2025-03-07,West,8378,2101
2025-11-17,South,2099,1487
2025-05-04,North,4392,2556
2025-06-13,East,3772,1130
2025-06-08,West,7784,1865
2025-02-26,West,2545,767
2025-03-19,South,2070,1320
2025-07-13,South,7522,934
2025-10-12,West,2850,975
2025-01-15,South,6053,2514
2025-01-12,East,3939,1101
2025-04-11,South,8194,349
2025-06-05,South,6851,2039
2025-12-06,West,7673,1718
2025-05-05,West,1678,1363
2025-12-25,North,1988,2527
2025-10-07,North,2502,971
2025-04-20,West,2789,934
2025-11-30,South,6281,2922
2025-12-23,South,6027,1018
2025-05-26,North,2425,1824
2025-08-04,North,7654,2602
2025-06-11,North,3440,2513
2025-05-08,East,7856,1413
2025-11-10,East,8367,1997
2025-11-28,North,3594,502
2025-05-30,South,5689,2205
2025-02-05,North,3436,2668
2025-06-22,East,6517,1427
2025-01-22,South,7310,1238
2025-07-25,East,4539,309
2025-05-07,South,4483,1164
2025-12-02,East,8371,915
2025-12-22,South,3241,2320
2025-08-05,South,7378,333
2025-04-06,South,3765,892
2025-06-13,South,5911,2007
2025-05-28,West,1403,1713
2025-01-18,East,4382,2940
2025-10-21,East,5163,2266
2025-07-14,West,8630,434
2025-05-31,South,1087,1459
2025-12-31,South,6816,1739
2025-05-03,East,6470,1197
2025-07-06,West,7276,1314
2025-05-29,South,6739,423
2025-04-14,South,5273,1890
2025-08-31,South,7523,383
2025-08-19,North,6003,312
2025-07-25,West,9038,1758
2025-07-17,South,7606,1841
2025-12-03,North,3064,1028
2025-03-28,West,6315,851
2025-05-22,South,1317,1517
2025-11-13,East,2502,2486
2025-07-18,North,7130,1921
2025-02-15,North,8419,1145
2025-10-15,South,3042,1894
2025-01-15,South,5598,1992
2025-02-13,North,1118,204
2025-06-18,East,1709,1589
2025-11-06,East,4557,1582
2025-02-13,West,4250,1555
2025-04-08,South,9061,869
2025-09-18,East,9609,2863
2025-04-19,West,3603,2910
2025-10-10,East,2101,2059
2025-12-09,South,5421,2127
2025-04-14,West,8857,478
2025-09-13,West,9177,812
2025-07-25,West,7082,1472
2025-12-01,East,7658,324
2025-02-12,South,3261,1837
2025-12-19,West,9021,837
2025-09-02,North,1508,335
2025-10-14,South,3379,282
2025-12-21,North,9879,811
2025-09-30,North,5752,1992
2025-03-24,West,6495,2591
2025-04-20,West,4209,1988
2025-07-09,East,8398,722
2025-10-15,East,7743,1359
2025-09-08,East,6648,1250
2025-07-31,South,6171,848
2025-10-18,East,8890,2302
2025-05-13,North,1324,2404
2025-07-20,East,4557,2382
2025-10-12,West,4587,2647
2025-11-22,East,1151,2436
2025-04-05,South,1954,609
2025-10-05,South,5354,1675
2025-11-21,North,8160,1923
2025-08-07,South,1687,2856
2025-03-30,East,9501,884
2025-03-13,West,4127,2923
2025-09-04,South,7763,2445
2025-05-09,North,4395,236
2025-07-31,East,1845,2523
2025-12-09,North,2164,2234
2025-04-06,South,6904,1877
2025-03-16,South,6360,1322
2025-02-23,North,1354,2584
2025-12-10,East,2872,1433
2025-02-23,South,3024,1877
2025-08-06,West,3817,1404
2025-01-16,South,4832,863
2025-04-09,East,9257,801
2025-01-20,South,3581,251
2025-02-15,North,3486,1425
2025-07-12,South,9418,1401
2025-02-27,South,3443,1811
2025-04-21,East,9919,1131
2025-05-09,North,2036,906
2025-12-03,East,9684,334
2025-07-13,South,8435,2822
2025-12-06,West,2548,660
2025-11-22,South,6065,1425
2025-01-08,East,7496,137
2025-01-29,West,7183,1259
2025-04-22,East,4957,2969
2025-06-10,East,4407,520
2025-05-11,North,1639,1342
2025-07-07,West,1172,447
2025-06-12,South,6666,1931
2025-07-16,East,5354,1669
2025-12-30,South,4959,2895
2025-07-23,North,9708,2018
2025-07-31,North,9714,2420
2025-04-19,West,3886,2001
2025-10-03,North,3164,2455
2025-03-14,North,4945,1497
2025-06-16,South,6235,2880
2025-09-17,North,8746,1924
2025-08-31,North,3590,2591
2025-10-02,East,8754,1328
2025-04-12,North,5934,504
2025-06-22,East,5076,1821
2025-06-20,North,6185,1320
2025-05-21,North,2093,2925
2025-07-07,West,4880,214
2025-03-27,West,7559,1776
2025-02-21,East,3785,164
2025-04-21,North,7065,1399
2025-12-31,South,7539,924
2025-12-08,West,2574,2386
2025-02-12,South,6676,2449
2025-07-30,West,9060,1515
2025-07-19,West,4990,1068
2025-10-25,North,6210,468
2025-12-12,West,5845,332
2025-08-28,South,2189,2342
2025-04-25,West,3689,1006
2025-01-26,East,5095,1020
2025-10-26,North,2875,788
2025-03-18,North,8768,276
2025-05-17,East,4406,2364
2025-01-20,East,4932,1134
2025-07-30,East,9240,1569
2025-08-28,West,6408,729
2025-02-08,North,4861,263
2025-09-25,East,8406,2200
2025-07-26,West,3833,2365
2025-09-24,East,6285,923
2025-06-03,South,8645,2532
2025-02-11,South,5777,155
2025-01-11,North,3735,217
2025-10-21,West,9273,897
2025-04-08,South,9278,879
2025-10-02,South,7368,2950
2025-08-18,West,1821,2992
2025-08-08,East,8525,1538
2025-03-06,West,1162,1993
2025-12-21,East,8777,807
2025-08-20,South,2932,1203
2025-11-24,South,4535,121
2025-02-21,South,6956,1600
2025-09-20,North,4446,942
2025-09-24,North,3790,1860
2025-12-25,North,3707,1216
2025-11-13,West,8959,291
2025-11-20,South,4933,1118
2025-06-03,South,4385,1226
2025-12-24,West,7636,495
2025-05-20,North,1922,2787
2025-02-20,West,9089,1118
2025-04-27,North,1564,666
2025-02-15,South,4258,330
2025-11-05,East,3500,973
2025-03-29,North,5566,2721
2025-07-27,South,7881,339
2025-09-26,South,4636,189
2025-03-30,East,7030,2379
2025-04-28,South,1223,556
2025-02-23,South,7297,2380
2025-04-26,North,1350,453
2025-04-28,North,8314,1104
2025-09-17,East,2928,1456
2025-03-16,East,8743,538
2025-11-01,South,9540,1498
2025-01-07,North,5732,444
2025-05-02,East,2017,2811
2025-01-11,East,3226,756
2025-12-14,West,8206,2277
2025-08-03,East,8170,2288
2025-10-06,South,7207,2562
2025-01-28,North,3419,1216
2025-08-23,East,7240,725
2025-11-09,West,2893,383
2025-01-26,North,6322,2079
2025-02-23,East,8718,1778
2025-01-29,West,7878,322
2025-12-19,East,2125,843
2025-06-13,North,4117,562
2025-09-27,North,5161,1668
2025-11-30,North,5042,1805
2025-02-04,South,5433,1263
2025-10-13,East,9638,2504
2025-12-14,South,3658,1836
2025-09-30,North,4483,1146
2025-07-27,West,3944,764
2025-08-26,East,8210,1456
2025-04-03,South,8653,1114
2025-06-22,East,9787,2232
2025-03-20,West,2986,2768
2025-04-20,South,2074,1154
2025-08-05,North,5305,1864
2025-12-24,South,4007,2387
2025-04-16,East,1969,2013
2025-02-16,East,9772,462
2025-06-30,East,3824,2969
2025-03-05,East,2211,1512
2025-09-03,North,1229,767
2025-09-01,South,5284,1980
2025-11-16,North,4185,1494
2025-03-28,North,1501,198
2025-08-05,North,1048,2194
2025-01-07,East,4566,2986
2025-10-05,East,4055,521
2025-12-03,East,9880,1603
2025-07-29,South,1386,161
2025-06-18,West,1969,1232
2025-11-26,East,6820,1802
2025-05-18,South,4052,697
2025-11-02,East,8397,491
2025-08-18,East,3302,1175
2025-11-04,North,3283,2750
2025-06-10,North,5366,1412
2025-01-01,North,1122,2129
2025-08-24,South,7799,2484
2025-07-07,West,4727,909
2025-01-04,West,9450,1505
2025-05-12,South,5958,2899
2025-08-06,East,1524,1259
2025-09-17,South,9399,1631
2025-01-01,East,1148,1485
2025-03-12,South,9001,980
2025-06-27,South,1437,1699
2025-07-08,South,4749,2782
2025-10-18,West,9186,353
2025-01-08,North,5453,2167
2025-09-10,South,6336,2675
2025-10-19,West,5551,1268
2025-09-01,North,3823,1331
2025-05-03,North,6728,2523
2025-10-26,South,9677,265
2025-10-10,East,9391,1673
2025-02-01,East,2982,716
2025-11-30,East,7996,2759
2025-05-26,South,3311,1725
2025-06-05,East,8225,602
2025-01-16,West,1604,1012
2025-12-21,West,9175,2226
2025-02-16,West,6785,684
2025-09-08,West,5597,2058
2025-07-06,North,8759,2835
2025-01-31,West,8532,495
2025-09-17,East,9740,1731
2025-01-17,South,1838,1980
2025-02-08,East,4815,501
2025-10-31,West,1847,1074
2025-02-08,North,5709,323
2025-05-12,West,5507,617
2025-01-30,South,7575,2781
2025-06-07,East,5773,335
2025-10-05,South,5468,215
2025-07-22,South,6192,325
2025-03-07,South,4320,2377
2025-04-18,East,5698,281
2025-09-25,West,5311,1441
2025-08-10,South,4673,309
2025-10-19,East,2564,1515
2025-01-18,North,2840,2243
2025-03-31,East,7058,993
2025-06-30,North,8131,1981
2025-09-12,East,1726,2903
2025-09-10,West,7697,1209
2025-09-14,South,1282,2562
2025-12-12,West,2081,2126
2025-03-28,East,4885,493
2025-03-31,South,3881,2843
2025-08-25,North,3970,943
2025-03-11,East,7985,1624
2025-02-13,South,1947,703
2025-07-19,North,5760,681
2025-06-01,North,1066,2142
2025-03-27,West,9828,2039
2025-01-19,East,9505,232
2025-04-11,North,1564,2938
2025-04-05,South,4670,2796
2025-09-11,North,3251,2368
2025-12-23,North,1804,1075
2025-01-30,West,5631,1913
2025-09-06,West,2235,1643
2025-02-02,South,7720,2935
2025-08-17,West,7906,2838
2025-01-12,North,7016,1457
2025-04-28,North,4549,138
2025-12-16,West,8938,1416
2025-06-04,North,5141,2837
2025-09-03,North,7966,261
2025-11-28,South,6335,2009
2025-09-04,West,6077,1227
2025-01-29,North,6611,2308
2025-06-10,West,9089,1758
2025-08-23,South,3892,2063
2025-07-09,West,6577,1157
2025-04-27,North,4618,2389
2025-09-28,West,2559,1066
2025-09-15,North,7683,989
2025-06-29,North,2507,2260
2025-06-21,North,3063,2465
2025-10-01,South,4642,2170
2025-09-16,West,3000,2971
2025-05-15,South,2294,2848
2025-06-20,West,5065,1766
2025-07-29,South,9014,1541
2025-08-24,East,2603,1167
2025-07-05,North,2322,227
2025-12-30,North,6956,257
2025-04-05,South,3441,926
2025-01-11,East,2098,1990
2025-03-09,North,6073,2999
2025-07-29,West,9488,611
2025-07-15,South,4787,2192
2025-04-08,North,3096,2366
2025-04-03,North,3208,542
2025-01-22,South,6988,2462
2025-06-21,South,1175,2324
2025-05-14,West,8169,2375
2025-01-25,West,7014,1826
2025-07-04,North,2667,2106
2025-03-26,North,9867,1795
2025-02-24,South,2823,366
2025-09-08,North,6147,937
2025-05-24,North,2356,588
2025-12-17,South,4072,801
2025-06-16,North,4259,786
2025-08-12,North,7199,1095
2025-08-08,East,1546,456
2025-06-28,West,6231,971
2025-04-29,South,8965,2073
2025-09-22,East,3083,2351
2025-05-30,West,3040,651
2025-08-03,West,5534,1910
2025-07-16,West,2752,422
2025-02-11,East,2849,2741
2025-02-22,East,3642,2328
2025-11-26,West,2600,2646
2025-09-08,North,5402,182
2025-10-22,North,4799,2450
2025-09-28,East,1618,361
2025-05-03,East,2132,883
2025-12-05,East,6491,1323
2025-09-23,West,6795,1013
2025-12-14,North,8633,2839
2025-01-29,East,2487,1043
2025-02-04,East,8848,2830
2025-01-06,South,6009,1418
2025-04-21,West,3113,1635
2025-10-21,South,2044,788
2025-03-18,North,3431,2543
2025-12-15,South,8979,1872
2025-05-27,South,2582,938
2025-03-08,South,2308,977
2025-01-08,West,5917,2970
2025-05-02,North,9793,148
2025-12-06,South,2620,2936
2025-06-24,West,8503,392
2025-06-28,North,5766,1751
2025-03-26,East,6362,635
2025-02-14,South,6192,410
2025-05-16,North,7622,636
2025-12-09,South,7093,2026
2025-01-16,East,7704,2786
2025-11-29,North,1100,333
2025-07-14,West,7657,1332
2025-01-09,North,6875,2752
2025-11-12,West,5271,2241
2025-11-30,North,1237,2474
2025-11-29,West,8226,2372
2025-11-23,East,9032,1066
2025-01-15,East,6218,989
2025-11-23,East,5025,2158
2025-04-12,North,7073,134
2025-08-14,East,3542,546
2025-10-05,South,2537,1863
2025-04-23,East,1754,2588
2025-01-01,West,8396,2800
2025-09-23,West,8823,1658
2025-07-27,West,6507,694
2025-04-20,North,5235,2125
2025-07-19,South,1540,2376
2025-11-02,East,6510,443
2025-01-12,South,9461,1203
2025-12-11,South,8926,1519
2025-07-07,West,6131,1413
2025-06-03,West,9697,1578
2025-11-30,West,2129,1251
2025-10-06,North,4145,2021
2025-06-20,South,9553,1482
2025-05-14,South,4720,2674
2025-01-25,North,5067,2222
2025-01-18,North,5195,1669
2025-07-09,North,8281,1994
2025-05-21,South,3509,2343
2025-02-12,South,6016,1966
2025-11-30,West,7533,128
2025-10-11,West,5727,805
2025-05-26,South,1681,1120
2025-11-11,West,4932,2163
2025-11-15,North,6560,1546
2025-04-02,East,5016,2952
2025-06-28,West,8339,1759
2025-02-25,South,1719,1066
2025-06-04,West,1074,2376
2025-06-09,West,5157,2862
2025-04-21,West,9511,672
2025-05-17,East,3149,1706
2025-08-20,North,7713,714
2025-08-08,South,5207,425
2025-03-09,East,8141,458
2025-10-29,South,9652,1910
2025-09-06,South,4936,2471
2025-11-19,South,2075,1821
2025-01-06,East,4876,1449
2025-10-07,North,5615,264
2025-04-04,South,8265,1696
2025-09-26,North,7379,1727
2025-07-16,North,5652,2945
2025-01-25,West,7792,2602
2025-05-28,East,8456,1276
2025-04-28,East,5674,1250
2025-12-04,West,1541,292
2025-12-04,West,3161,2774
2025-03-07,North,3251,2677
2025-10-28,South,5569,191
2025-06-24,East,3744,238
2025-11-15,South,7041,580
2025-03-17,South,5675,2596
2025-04-24,West,2560,1456
2025-04-21,South,2164,439
2025-09-06,North,6419,1175
2025-07-22,West,3722,2613
2025-05-27,South,1470,2865
2025-02-04,West,2468,898
2025-11-05,North,8925,574
2025-01-26,North,1808,2548
2025-08-26,South,9363,1562
2025-01-14,West,7719,704
2025-02-14,South,6073,920
2025-08-04,South,9012,2804
2025-08-21,West,2645,697
2025-07-12,South,9249,1632
2025-02-20,North,2129,613
2025-08-02,West,2353,1626
2025-05-31,West,1767,1977
2025-10-02,West,4895,1799
2025-12-04,West,9874,1129
2025-03-17,South,4454,599
2025-08-08,South,8329,1784
2025-12-14,North,2790,816
2025-07-06,East,1885,1241
2025-10-16,East,8734,1608
2025-01-28,North,4906,2748
2025-06-29,East,5492,765
2025-09-10,North,3073,2615
2025-05-06,South,1312,2308
2025-06-26,West,7269,2417
2025-02-06,West,6317,1179
2025-04-09,South,1810,327
2025-04-08,West,7841,2996
2025-05-07,West,3032,248
2025-06-17,East,8129,1169
2025-03-21,South,3705,1267
2025-10-21,East,9788,731
2025-11-29,East,3147,1463
2025-05-06,West,1615,512
2025-12-09,West,1947,1855
2025-11-06,South,6677,619
2025-05-30,West,5651,1467
2025-01-16,West,8866,2534
2025-01-28,South,3013,2422
2025-06-22,West,4697,2500
2025-02-15,East,1490,1202
2025-11-24,South,5350,697
2025-08-24,West,3428,1759
2025-08-02,North,5987,1785
2025-03-26,South,9733,2705
2025-10-09,South,5920,2260
2025-08-20,North,3926,2288
2025-03-26,West,8282,2024
2025-03-06,West,5376,829
2025-05-14,South,5868,688
2025-05-31,South,7986,2558
2025-04-25,West,7862,476
2025-03-05,West,5423,1507
2025-12-09,East,7870,1969
2025-12-29,South,9159,850
2025-12-18,South,3073,726
2025-06-07,North,7170,1729
2025-03-18,East,1701,1094
2025-05-26,West,9113,1683
2025-12-09,East,7825,802
2025-08-13,West,8867,2609
2025-11-09,West,5264,2159
2025-04-13,East,8968,1279
2025-12-13,South,9146,576
2025-10-28,West,8776,500
2025-03-29,East,9558,2955
2025-10-30,North,9719,2324
2025-06-17,East,5886,156
2025-06-19,North,4935,1975
2025-05-15,West,5619,547
2025-02-19,East,6191,302
2025-12-06,East,7875,1756
2025-12-13,North,8856,837
2025-05-14,East,6401,301
2025-12-13,East,4022,1453
2025-05-17,West,6738,2510
2025-09-02,East,6984,991
2025-04-19,South,2770,2601
2025-11-09,North,9989,2503
2025-10-14,East,4215,315
2025-01-21,North,7694,2702
2025-03-31,North,3976,122
2025-10-23,North,4737,2302
2025-04-22,East,1752,1309
2025-10-28,East,2392,2396
2025-03-18,North,7789,848
2025-06-26,South,1677,904
2025-12-09,North,1105,233
2025-05-28,South,5753,420
2025-04-11,North,2946,2537
2025-09-03,West,6544,533
2025-04-27,North,2095,1145
2025-04-02,North,7985,972
2025-01-28,East,2782,2198
2025-01-25,South,5541,2323
2025-02-27,West,4257,352
2025-10-24,South,7213,1065
2025-05-14,West,5869,838
2025-11-27,North,2561,1229
2025-09-06,East,5006,1439
2025-02-07,East,4981,401
2025-03-16,South,6682,2695
2025-05-22,East,6782,2077
2025-11-18,South,1943,2863
2025-06-17,South,5550,2926
2025-09-16,West,1600,2415
2025-12-21,South,7376,650
2025-08-13,West,2524,1578
2025-06-01,East,4766,1415
2025-01-19,South,1250,1687
2025-05-26,South,1078,1922
2025-08-29,North,4123,1924
2025-12-10,South,8064,1264
2025-08-25,South,9417,413
2025-02-04,North,2209,283
2025-07-09,North,6153,1787
2025-01-01,East,5898,812
2025-06-02,South,3178,2275
2025-05-06,East,8610,1410
